class,amount-observed,amount-collected,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,articles,articles-top,page,internet-mentions,twitter-mentions,region,population,habitat
e,2977,2324,f,y,r,f,n,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,10.0,6.0,1867,9667,6233,as,v,d
p,3485,2279,f,y,e,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,10.0,7.0,1129,11697,8481,as,v,p
e,3972,3159,b,f,g,f,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,8.0,4.0,1374,11144,6890,af,n,g
p,2103,1276,f,s,n,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,18.0,12.0,2619,7685,5034,na,v,l
e,1301,866,f,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,15.0,8.0,783,6379,4875,eu,a,g
e,1908,1508,x,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,9.0,5.0,939,10474,7325,sa,y,d
p,3126,2034,x,f,w,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,8.0,4.0,601,13078,8037,af,s,d
e,2183,1560,x,y,n,t,n,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,9.0,5.0,313,9865,7589,au,c,w
p,3880,2816,f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,1.0,1.0,1611,8132,5143,na,y,g
p,2029,1549,k,y,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,6.0,4.0,2832,7007,4461,eu,v,d
e,3901,2962,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,0.0,0.0,3324,10080,6983,sa,n,g
e,3333,2061,x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,0.0,0.0,1976,12583,8755,na,v,d
e,3634,2659,x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,4.0,2.0,3469,5534,4191,eu,y,d
e,2661,1637,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,10.0,6.0,3679,8746,5801,eu,y,u
p,2861,1836,x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,18.0,11.0,3633,14794,9792,au,v,d
e,2120,1380,x,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,15.0,8.0,838,9533,7018,na,v,d
e,3191,2425,x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,5.0,3.0,3804,12539,9261,eu,y,d
e,4555,3215,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,4.0,2.0,1235,9822,7667,na,n,m
p,2943,2264,k,s,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,19.0,13.0,3589,5962,4313,sa,v,d
p,4715,3356,x,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,1.0,1.0,869,8367,6040,au,v,d
e,3226,2330,f,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,1.0,1.0,2617,10611,6970,au,v,d
e,2193,1496,f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,2.0,1.0,793,8828,5251,af,y,d
p,2904,1905,x,y,n,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,19.0,11.0,1141,14312,10454,au,v,l
p,2772,1915,x,y,e,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,5.0,3.0,2865,12969,9140,eu,v,d
e,3297,2392,x,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,1.0,1.0,2573,6582,4369,na,a,g
e,3293,2633,k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,n,0.0,0.0,1866,9054,6503,na,c,l
p,1636,1243,x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,9.0,6.0,1138,8244,6037,na,y,d
p,2509,1572,f,y,n,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,7.0,3.0,770,11047,8357,eu,v,d
p,2389,2001,k,y,e,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,11.0,7.0,517,6788,4760,sa,v,p
e,2734,1892,f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,12.0,7.0,1482,11491,8093,au,a,g
p,3641,2624,f,y,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,4.0,2.0,2924,8647,5695,as,v,p
p,1770,1285,f,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,9.0,5.0,3609,12194,9247,au,y,p
e,4163,2909,f,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,11.0,7.0,829,12781,8732,sa,y,d
p,3346,2460,x,f,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,1.0,1.0,3067,6132,4264,eu,v,d
e,2991,2067,x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,11.0,7.0,2169,9365,6581,au,v,d
e,3291,1974,f,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,17.0,10.0,1597,9220,6172,au,y,d
p,3298,2200,x,y,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,6.0,4.0,2670,8977,5961,eu,v,d
p,3785,2510,k,s,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,6.0,4.0,3789,9090,6463,af,v,d
e,2821,2035,x,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,15.0,9.0,818,9740,6964,eu,v,d
p,2884,2167,x,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,15.0,7.0,2356,12685,9477,eu,y,d
e,1897,1268,k,s,g,f,n,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,13.0,8.0,2179,12581,8567,as,n,g
p,1804,1226,f,f,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,7.0,5.0,1220,8937,5650,na,y,g
e,2185,1508,f,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,5.0,3.0,2533,10979,7593,as,v,d
p,2646,1665,f,s,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,13.0,8.0,1325,9417,6719,af,v,l
p,2177,1315,f,s,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,1.0,1.0,2917,8172,5777,eu,v,p
e,4063,3216,x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,6.0,4.0,305,13594,10337,sa,v,d
e,3372,2650,f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,15.0,8.0,2615,8626,6589,af,y,d
e,3237,2431,f,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,15.0,8.0,2526,10137,7752,as,v,d
e,2020,1397,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,1.0,1.0,2243,11987,8043,na,s,g
e,2967,2073,x,y,r,f,n,f,c,n,p,e,?,s,f,w,w,p,w,o,f,h,6.0,4.0,1007,11598,7848,eu,y,d
e,4330,3257,f,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,14.0,8.0,2932,6955,4603,af,y,d
p,1859,1334,x,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,13.0,7.0,3324,14742,9786,na,y,d
p,4963,3222,f,s,n,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,3.0,2.0,870,7280,5189,af,v,p
e,2458,1676,f,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,15.0,9.0,2818,8739,5859,eu,s,g
e,2830,2219,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,12.0,8.0,746,7814,5035,eu,n,g
e,3432,2586,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,13.0,8.0,2947,14225,10059,na,a,g
p,3143,2127,x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,4.0,2.0,2110,11791,8521,au,y,g
p,2946,1975,f,s,p,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,0.0,0.0,25,6338,4521,na,v,m
p,3839,2422,f,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,11.0,7.0,1535,12639,8532,af,v,p
p,4538,2922,f,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,14.0,10.0,1138,13759,10196,as,v,p
p,4573,3333,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,4.0,3.0,1968,7275,5527,eu,s,u
e,2274,1532,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,8.0,5.0,1538,7849,5083,af,n,g
e,4393,3336,x,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,14.0,9.0,1644,9289,6559,na,s,g
p,3506,2452,x,y,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,15.0,9.0,3562,11390,8093,na,v,l
p,3254,2538,f,y,n,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,12.0,8.0,2820,10376,6964,as,v,l
p,3370,2487,k,y,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,12.0,8.0,1438,12328,9288,au,v,p
p,3242,2256,x,s,g,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,13.0,7.0,452,14907,10989,af,v,u
e,3127,2026,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,1.0,1.0,1737,14234,9116,as,n,m
p,1428,923,f,s,w,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,3.0,2.0,3598,14454,9939,sa,v,g
e,3081,2042,x,s,g,f,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,5.0,3.0,1372,13967,10146,af,s,g
p,2715,1867,f,y,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,10.0,5.0,1856,8219,6512,as,v,g
e,3102,2191,k,f,g,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,11.0,7.0,930,10737,7558,as,n,g
p,2964,2044,x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,15.0,8.0,1109,10586,7458,af,y,d
p,4035,3079,x,s,g,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,15.0,10.0,1438,6756,4891,as,s,u
p,2961,2190,x,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,8.0,5.0,2436,12351,8044,au,v,d
e,2161,1536,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,7.0,4.0,1396,14045,9274,af,s,g
p,3132,2331,x,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,1.0,1.0,1962,8688,5882,sa,v,d
e,3202,2525,x,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,1.0,1.0,605,12655,8665,sa,v,d
e,2387,1628,f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,14.0,9.0,2323,9507,7096,sa,s,g
e,1987,1465,x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,5.0,3.0,2716,11508,7956,na,y,d
e,4019,2722,x,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,15.0,8.0,2016,13656,10087,eu,y,d
e,2058,1361,x,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,12.0,7.0,2964,11932,8283,as,v,u
p,3178,2163,x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,18.0,11.0,1563,9015,6197,au,v,d
p,3108,2388,f,y,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,18.0,10.0,951,14009,9817,eu,v,p
p,1895,1334,f,s,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,15.0,7.0,134,10894,7090,as,v,p
e,1895,1436,f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,18.0,11.0,1565,10931,7416,au,v,d
p,2529,1825,x,s,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,3.0,2.0,1599,5071,3277,as,v,p
e,2651,1703,f,y,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,6.0,3.0,382,11675,7490,as,v,d
e,3325,2177,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,12.0,6.0,2727,13653,10367,af,n,g
p,4172,3244,x,y,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,6.0,3.0,1502,11172,7281,as,v,p
p,2697,1834,k,y,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,3.0,2.0,1306,13710,10672,as,v,p
p,3049,2116,f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,17.0,11.0,1414,12274,8498,sa,v,g
e,3306,2245,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,12.0,8.0,3551,7705,5433,na,s,m
e,2708,2140,f,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,12.0,7.0,37,10150,7416,eu,a,g
e,2182,1444,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,17.0,11.0,2173,11566,7377,af,n,g
p,3696,2666,k,s,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,19.0,12.0,3583,14146,10308,na,v,d
p,2870,2080,k,s,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,11.0,7.0,2835,9751,7320,na,v,d
e,3864,2944,f,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,17.0,9.0,2224,10120,7501,eu,s,g
p,2289,1713,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,19.0,12.0,2547,5732,3487,as,s,u
e,4118,3106,x,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,0.0,0.0,776,11840,9540,au,y,d
e,2331,1774,f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,6.0,3.0,1604,11493,7955,eu,a,g
p,2420,1710,x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,16.0,10.0,548,12647,8633,as,y,p
p,2085,1430,f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,1.0,1.0,2324,14532,10237,af,y,d
p,2132,1426,f,s,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,17.0,11.0,702,12033,8886,au,v,p
e,2977,1950,f,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,19.0,10.0,2875,16553,10663,eu,v,d
p,3570,2163,x,y,n,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,11.0,8.0,756,7989,6376,na,v,p
e,3191,2113,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,7.0,4.0,32,16333,11764,na,s,g
e,3180,2295,f,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,16.0,10.0,2720,9502,6419,sa,v,d
e,2897,2264,k,y,e,t,n,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,18.0,11.0,989,13586,9181,as,c,w
p,4598,2993,f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,16.0,10.0,3529,10013,7056,sa,y,g
e,3433,2181,f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,12.0,9.0,108,10818,7867,sa,s,g
p,2866,1975,k,s,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,19.0,11.0,1995,8164,6025,as,v,l
p,1687,1105,x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,16.0,11.0,1106,19451,12331,sa,y,d
p,4040,2572,k,s,e,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,5.0,3.0,898,12923,7543,eu,v,p
e,3117,2160,x,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,5.0,3.0,713,7968,5741,as,s,g
e,2390,1514,x,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,6.0,3.0,3263,5539,3691,as,y,d
e,3311,2365,x,y,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,15.0,10.0,1497,10292,6173,au,y,d
p,2792,1629,x,s,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,9.0,6.0,1709,11361,7616,eu,v,d
e,4291,2848,b,s,g,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,16.0,10.0,3117,8931,7227,eu,n,g
e,2897,2242,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,9.0,5.0,197,1210,831,na,n,g
e,3067,1967,x,f,g,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,10.0,6.0,234,12621,7119,na,s,g
e,4075,2966,x,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,16.0,10.0,1655,11852,7332,sa,y,d
e,3509,2381,f,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,o,0.0,0.0,1673,12188,8819,af,c,l
e,2381,1846,x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,n,15.0,8.0,3434,8593,6656,au,v,l
p,2078,1518,f,y,p,t,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,17.0,11.0,3058,12859,9175,na,v,g
e,2479,1730,k,f,w,f,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,6.0,4.0,3667,15455,10696,af,n,g
p,3830,2697,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,17.0,10.0,1111,10991,7703,au,s,g
e,2583,1886,f,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,19.0,11.0,1062,14539,10076,au,v,d
p,4215,2950,x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,2.0,1.0,564,8928,6443,eu,y,p
p,2756,1855,x,s,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,17.0,11.0,2144,10392,7289,as,v,l
p,1236,794,f,y,e,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,3.0,1.0,878,11922,7427,na,v,p
e,3011,1960,f,f,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,18.0,10.0,1455,7424,4911,sa,v,d
e,3078,2098,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,19.0,12.0,3014,11980,9290,eu,s,m
e,2287,1501,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,8.0,5.0,3147,11190,7026,eu,s,m
e,2244,1618,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,11.0,6.0,350,11852,8947,as,s,g
p,1873,1391,x,y,n,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,14.0,9.0,3032,5788,3905,au,v,p
e,3738,2602,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,17.0,11.0,2426,13421,9411,as,y,u
e,2700,1945,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,13.0,9.0,1908,9445,5976,as,y,u
p,4478,3498,x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,9.0,5.0,3442,11625,9138,na,v,g
p,3205,2379,k,y,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,11.0,7.0,3060,10755,7999,au,v,l
e,4419,3165,f,y,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,15.0,9.0,3654,8862,6147,sa,v,d
e,3770,2621,f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,8.0,4.0,1146,10215,6444,as,a,g
e,1699,1071,x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,14.0,8.0,1817,10996,7841,au,a,g
e,2875,1959,x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,7.0,4.0,1185,12639,7513,eu,v,d
e,1736,1195,x,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,1.0,1.0,2301,7610,5193,eu,v,d
p,4172,2589,x,y,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,6.0,3.0,2406,7435,4646,sa,v,p
e,2339,1900,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,5.0,3.0,969,9861,6766,na,v,u
e,2631,1924,x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,3.0,2.0,50,8383,6688,sa,y,d
p,3310,2094,x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,2.0,2.0,2578,9315,6472,na,y,d
p,2043,1529,x,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,3.0,2.0,3129,8298,5405,sa,v,p
p,4659,3017,k,y,n,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,4.0,3.0,1011,12266,8806,as,v,l
e,2694,1912,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,13.0,8.0,1696,11588,8237,na,n,g
p,2547,1560,x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,0.0,0.0,305,17142,11377,as,y,d
e,4211,3019,x,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,8.0,4.0,494,9406,7614,au,y,d
e,751,528,f,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,0.0,0.0,3125,11224,8297,eu,v,d
e,1333,952,f,y,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,19.0,13.0,1587,16121,12564,na,v,d
e,3147,2113,f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,3.0,2.0,2821,8198,5905,eu,s,g
p,2034,1381,x,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,9.0,5.0,1563,10432,7674,au,y,g
p,3634,2527,x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,3.0,2.0,3666,17154,12242,au,y,g
e,2821,1969,x,f,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,1.0,1.0,3429,15203,10282,as,v,d
e,3480,2830,f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,5.0,3.0,2896,10560,7041,na,y,d
p,2459,1522,x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,11.0,7.0,522,10598,7838,eu,y,p
e,3775,2869,x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,16.0,8.0,1423,10558,7430,af,v,d
e,4391,2714,f,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,18.0,10.0,2981,11184,8473,af,v,d
e,3351,2291,x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,2.0,1.0,1441,10643,6835,af,s,g
p,2927,2033,f,s,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,1.0,1.0,826,6219,4789,au,v,d
e,3333,2544,x,f,g,f,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,3.0,2.0,1973,12616,9748,na,n,g
p,3475,2508,f,y,c,f,m,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,10.0,6.0,676,10106,7127,au,c,d
e,3699,2545,b,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,17.0,11.0,23,11074,7904,na,c,l
p,3128,2493,k,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,5.0,3.0,249,9788,6909,sa,v,p
p,1614,991,x,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,12.0,6.0,82,12513,9109,eu,y,d
p,4189,2403,f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,4.0,2.0,1308,16335,12152,eu,v,u
p,1719,1261,f,s,w,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,14.0,8.0,1803,10222,8122,sa,s,g
e,4162,3227,f,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,15.0,10.0,152,7757,5532,eu,y,d
p,3856,2973,k,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,15.0,10.0,2817,10230,7051,eu,v,d
e,2413,1782,f,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,1.0,1.0,2860,11280,8668,eu,v,d
p,2829,2137,k,s,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,11.0,6.0,2239,14081,10122,na,v,l
e,1121,890,f,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,14.0,8.0,1190,14872,10480,af,v,d
p,1847,1360,x,s,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,7.0,3.0,2685,7350,5938,na,v,d
e,2850,2004,x,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,14.0,9.0,3248,11354,7314,au,y,d
p,2989,2094,f,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,8.0,5.0,1220,13544,9067,sa,y,d
p,2313,1672,x,y,n,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,10.0,5.0,2141,8115,5684,eu,v,l
e,3487,2535,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,18.0,13.0,3213,13869,9874,eu,a,g
e,4094,2812,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,8.0,4.0,3045,14671,10860,af,y,g
p,3291,2444,x,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,18.0,12.0,2986,13910,8863,eu,v,p
p,2082,1456,f,s,g,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,10.0,5.0,3109,7708,4898,af,v,u
p,2842,1739,x,y,e,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,7.0,5.0,3808,11651,7492,af,v,l
e,3460,2373,f,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,3.0,1.0,1839,12023,9214,af,y,d
p,2412,1567,x,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,18.0,11.0,906,7626,5629,af,v,g
e,3190,2478,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,12.0,7.0,1504,6079,4542,na,s,p
e,2227,1663,x,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,6.0,3.0,288,11235,7392,au,y,d
p,2014,1518,x,y,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,13.0,8.0,3025,7210,5011,af,v,l
p,3218,2428,f,y,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,11.0,7.0,2050,9288,6190,af,v,d
p,3324,2355,f,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,15.0,9.0,1779,9333,6676,as,y,g
